＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
160030018,FUT_225_250313,,202503,,36760,36795,36793.11,,0.4755,3,日経225
160060018,FUT_225_250612,,202506,,36520,36564,36793.11,,0.8018,94,日経225
160090018,FUT_225_250911,,202509,,36520,36563,36793.11,,0.8073,185,日経225
160120018,FUT_225_251211,,202512,,36320,36367,36793.11,,0.7991,276,日経225
161030018,FUT_225_260312,,202603,,36420,36357,36793.11,,0.7991,367,日経225
161060018,FUT_225_260611,,202606,,36170,36131,36793.11,,0.7991,458,日経225
161120018,FUT_225_261210,,202612,,36030,35938,36793.11,,0.7991,640,日経225
162060018,FUT_225_270610,,202706,,35890,35707,36793.11,,0.7991,822,日経225
162120018,FUT_225_271209,,202712,,35710,35518,36793.11,,0.7991,1004,日経225
163060018,FUT_225_280608,,202806,,35610,35293,36793.11,,0.7991,1186,日経225
163120018,FUT_225_281207,,202812,,35500,35108,36793.11,,0.7991,1368,日経225
164060018,FUT_225_290607,,202906,,35440,34887,36793.11,,0.7991,1550,日経225
164120018,FUT_225_291213,,202912,,35350,34712,36793.11,,0.7991,1739,日経225
165060018,FUT_225_300613,,203006,,35220,34496,36793.11,,0.7991,1921,日経225
165120018,FUT_225_301212,,203012,,35130,34320,36793.11,,0.7991,2103,日経225
166060018,FUT_225_310612,,203106,,35110,34108,36793.11,,0.7991,2285,日経225
166120018,FUT_225_311211,,203112,,35110,33936,36793.11,,0.7991,2467,日経225
167060018,FUT_225_320610,,203206,,35050,33729,36793.11,,0.7991,2649,日経225
167120018,FUT_225_321209,,203212,,35020,33561,36793.11,,0.7991,2831,日経225
160030019,FUT_225M_250313,,202503,,36760,36795,36793.11,,0.4755,3,日経225
160040019,FUT_225M_250410,,202504,,36450,36509,36793.11,,0.6346,31,日経225
160050019,FUT_225M_250508,,202505,,36420,36526,36793.11,,0.6346,59,日経225
160060019,FUT_225M_250612,,202506,,36520,36564,36793.11,,0.8018,94,日経225
160070019,FUT_225M_250710,,202507,,36505,36539,36793.11,,0.8073,122,日経225
160090019,FUT_225M_250911,,202509,,36520,36563,36793.11,,0.8073,185,日経225
160120019,FUT_225M_251211,,202512,,36320,36367,36793.11,,0.7991,276,日経225
161030019,FUT_225M_260312,,202603,,36420,36357,36793.11,,0.7991,367,日経225
161060019,FUT_225M_260611,,202606,,36170,36131,36793.11,,0.7991,458,日経225
161120019,FUT_225M_261210,,202612,,36030,35938,36793.11,,0.7991,640,日経225
162060019,FUT_225M_270610,,202706,,35890,35707,36793.11,,0.7991,822,日経225
162120019,FUT_225M_271209,,202712,,35710,35518,36793.11,,0.7991,1004,日経225
163060019,FUT_225M_280608,,202806,,35610,35293,36793.11,,0.7991,1186,日経225
163120019,FUT_225M_281207,,202812,,35500,35108,36793.11,,0.7991,1368,日経225
164060019,FUT_225M_290607,,202906,,35440,34887,36793.11,,0.7991,1550,日経225
164120019,FUT_225M_291213,,202912,,35350,34712,36793.11,,0.7991,1739,日経225
160030023,FUT_225MC_250313,,202503,,36760,36795,36793.11,,0.4755,3,日経225
160040023,FUT_225MC_250410,,202504,,36450,36509,36793.11,,0.6346,31,日経225
160050023,FUT_225MC_250508,,202505,,36420,36526,36793.11,,0.6346,59,日経225
160060023,FUT_225MC_250612,,202506,,36520,36564,36793.11,,0.8018,94,日経225
160030005,FUT_TPX_250313,,202503,,2671.5,2670.8,2670.72,,0.4755,3,TOPIX
160060005,FUT_TPX_250612,,202506,,2645,2646,2670.72,,0.8018,94,TOPIX
160090005,FUT_TPX_250911,,202509,,2648,2647.1,2670.72,,0.8073,185,TOPIX
160120005,FUT_TPX_251211,,202512,,2627,2626.3,2670.72,,0.7991,276,TOPIX
161030005,FUT_TPX_260312,,202603,,2627.5,2626.8,2670.72,,0.7991,367,TOPIX
160030006,FUT_TPXM_250313,,202503,,2671.5,2670.82,2670.72,,0.4755,3,TOPIX
160060006,FUT_TPXM_250612,,202506,,2645,2646.04,2670.72,,0.8018,94,TOPIX
160090006,FUT_TPXM_250911,,202509,,2648,2647.12,2670.72,,0.8073,185,TOPIX
160030022,FUT_400_250313,,202503,,24170,24170,24168.81,,0.4755,3,JPX日経400
160060022,FUT_400_250612,,202506,,23820,23955,24168.81,,0.8018,94,JPX日経400
160090022,FUT_400_250911,,202509,,23955,23956,24168.81,,0.8073,185,JPX日経400
160120022,FUT_400_251211,,202512,,23765,23764,24168.81,,0.7991,276,JPX日経400
161030022,FUT_400_260312,,202603,,23760,23761,24168.81,,0.7991,367,JPX日経400
160030012,FUT_JP150_250313,,202503,,1161,1161.1,1161.01,,0.4755,3,JPXプライム150指数
160060012,FUT_JP150_250612,,202506,,1150.5,1150.3,1161.01,,0.8018,94,JPXプライム150指数
160090012,FUT_JP150_250911,,202509,,1151,1150.8,1161.01,,0.8073,185,JPXプライム150指数
160120012,FUT_JP150_251211,,202512,,1141.5,1141.7,1161.01,,0.7991,276,JPXプライム150指数
161030012,FUT_JP150_260312,,202603,,1142,1141.9,1161.01,,0.7991,367,JPXプライム150指数
160030063,FUT_C30_250313,,202503,,1384.5,1384.6,1384.59,,0.4755,3,TOPIX Core30
160060063,FUT_C30_250612,,202506,,1375,1375,1384.59,,0.8018,94,TOPIX Core30
160090063,FUT_C30_250911,,202509,,1377,1377.1,1384.59,,0.8073,185,TOPIX Core30
160030065,FUT_SJESG_250313,,202503,,3073,3073.2,3073.09,,0.4755,3,S&P/JPX 500ESGスコア・ティルト指数
160060065,FUT_SJESG_250612,,202506,,3044.5,3044.7,3073.09,,0.8018,94,S&P/JPX 500ESGスコア・ティルト指数
160090065,FUT_SJESG_250911,,202509,,3046,3045.9,3073.09,,0.8073,185,S&P/JPX 500ESGスコア・ティルト指数
160030066,FUT_FJNZR_250313,,202503,,1789.5,1789.4,1789.3,,0.4755,3,FTSE JPXネットゼロ・ジャパン500指数
160060066,FUT_FJNZR_250612,,202506,,1773,1772.8,1789.3,,0.8018,94,FTSE JPXネットゼロ・ジャパン500指数
160090066,FUT_FJNZR_250911,,202509,,1773.5,1773.5,1789.3,,0.8073,185,FTSE JPXネットゼロ・ジャパン500指数
160030067,FUT_NKC15_250313,,202503,,36610,36608,36606.34,,0.4755,3,日経平均気候変動指数
160060067,FUT_NKC15_250612,,202506,,36380,36379,36606.34,,0.8018,94,日経平均気候変動指数
160090067,FUT_NKC15_250911,,202509,,36380,36377,36606.34,,0.8073,185,日経平均気候変動指数
160030032,FUT_BANK_250313,,202503,,372,372,372.01,,0.4755,3,東証銀行
160060032,FUT_BANK_250612,,202506,,368.6,368.6,372.01,,0.8018,94,東証銀行
160090032,FUT_BANK_250911,,202509,,369.3,369.3,372.01,,0.8073,185,東証銀行
160030069,FUT_REIT_250313,,202503,,1644.5,1644.7,1644.64,,0.4755,3,東証REIT
160060069,FUT_REIT_250612,,202506,,1634.5,1634.3,1644.64,,0.8018,94,東証REIT
160090069,FUT_REIT_250911,,202509,,1610,1609.9,1644.64,,0.8073,185,東証REIT
160030073,FUT_DJIA_250321,,202503,,42150,,41911.71,,,13,NYダウ
160060073,FUT_DJIA_250620,,202506,,42335,,41911.71,,,104,NYダウ
160090073,FUT_DJIA_250919,,202509,,42782,,41911.71,,,195,NYダウ
160120073,FUT_DJIA_251219,,202512,,43150,,41911.71,,,286,NYダウ
160030076,FUT_RNP_250313,,202503,,1700,1700.1,1700,,0.4755,3,RNP
160060076,FUT_RNP_250612,,202506,,1684.5,1684.3,1700,,0.8018,94,RNP
160090076,FUT_RNP_250911,,202509,,1685,1685,1700,,0.8073,185,RNP
160120076,FUT_RNP_251211,,202512,,1671.5,1671.7,1700,,0.7991,276,RNP
161030076,FUT_RNP_260312,,202603,,1672,1672,1700,,0.7991,367,RNP
169120017,FUT_NKDV_250331,,202412,,696,,,,,21,日経平均配当
160120017,FUT_NKDV_260331,,202512,,793,,,,,386,日経平均配当
161120017,FUT_NKDV_270331,,202612,,795,,,,,751,日経平均配当
162120017,FUT_NKDV_280331,,202712,,800,,,,,1119,日経平均配当
163120017,FUT_NKDV_290330,,202812,,794,,,,,1483,日経平均配当
164120017,FUT_NKDV_300329,,202912,,703.3,,,,,1847,日経平均配当
165120017,FUT_NKDV_310331,,203012,,703.3,,,,,2212,日経平均配当
166120017,FUT_NKDV_320331,,203112,,703.3,,,,,2578,日経平均配当
167120017,FUT_NKDV_330331,,203212,,703.3,,,,,2943,日経平均配当
160030001,FUT_JBL_250313,,202503,,138.82,,,,,10,長期国債
160060001,FUT_JBL_250613,,202506,,138.26,,,,,101,長期国債
160090001,FUT_JBL_250912,,202509,,137.74,,,,,195,長期国債
160030007,FUT_JBLM_250312,,202503,,138.82,,,,,2,長期国債
160060007,FUT_JBLM_250612,,202506,,138.26,,,,,94,長期国債
160090007,FUT_JBLM_250911,,202509,,137.74,,,,,185,長期国債
160030004,FUT_JBM_250313,,202503,,107.74,,,,,10,中期国債
160060004,FUT_JBM_250613,,202506,,107.48,,,,,101,中期国債
160090004,FUT_JBM_250912,,202509,,107.15,,,,,195,中期国債
160030002,FUT_JBS_250313,,202503,,113.02,,,,,10,超長期国債
160060002,FUT_JBS_250613,,202506,,112.22,,,,,101,超長期国債
160090002,FUT_JBS_250912,,202509,,111.57,,,,,195,超長期国債
169120091,FUT_TOA3M_250318,,202412,,99.6325,,,,,8,無担保コールO/N物レート
160030091,FUT_TOA3M_250617,,202503,,99.4975,,,,,99,無担保コールO/N物レート
160060091,FUT_TOA3M_250916,,202506,,99.365,,,,,190,無担保コールO/N物レート
160090091,FUT_TOA3M_251216,,202509,,99.2525,,,,,281,無担保コールO/N物レート
160120091,FUT_TOA3M_260317,,202512,,99.165,,,,,372,無担保コールO/N物レート
161030091,FUT_TOA3M_260616,,202603,,99.085,,,,,463,無担保コールO/N物レート
161060091,FUT_TOA3M_260915,,202606,,99.035,,,,,554,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,98.9825,,,,,645,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,98.9475,,,,,736,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,98.9325,,,,,827,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,98.91,,,,,918,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,98.8925,,,,,1009,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,98.88,,,,,1100,無担保コールO/N物レート
